model,method,panel,veri_turu,n_rows,n_selected_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
TabPFN,FILTER_ANOVA,MASTER,TEMİZLENMİŞ,2931,30,2344,587,0.8245315161839863,0.8898395721925134,0.7294386145481395,0.8237623762376237,0.9674418604651164,0.5114487708388369,0.9036703467414376,0.8111687157458155
TabPFN,FILTER_ANOVA,KANSER,TEMİZLENMİŞ,388,30,310,78,0.8589743589743589,0.9026548672566372,0.8234204568841326,0.864406779661017,0.9444444444444444,0.6570824601984488,0.8876157230642503,0.8406635802469136
TabPFN,FILTER_ANOVA,PAH,TEMİZLENMİŞ,372,30,297,75,0.8533333333333334,0.9185185185185184,0.5925925925925926,0.8493150684931506,1.0,0.3614745588437089,0.9508762269139452,0.826302729528536
TabPFN,FILTER_ANOVA,CFTR,TEMİZLENMİŞ,111,30,88,23,0.8695652173913043,0.9230769230769232,0.7472527472527473,0.9,0.9473684210526316,0.5034965460952284,0.9400729172787994,0.7894736842105263
TabPFN,FILTER_MUTUAL_INFO,MASTER,TEMİZLENMİŞ,2931,30,2344,587,0.838160136286201,0.8972972972972973,0.7578855964398133,0.8383838383838383,0.9651162790697676,0.5546706220557711,0.9176921193392766,0.8464820026662717
TabPFN,FILTER_MUTUAL_INFO,KANSER,TEMİZLENMİŞ,388,30,310,78,0.8846153846153846,0.9217391304347826,0.8511134676564157,0.8688524590163934,0.9814814814814816,0.724581776385293,0.9176732514350736,0.8680555555555556
TabPFN,FILTER_MUTUAL_INFO,PAH,TEMİZLENMİŞ,372,30,297,75,0.8533333333333334,0.9185185185185184,0.5925925925925926,0.8493150684931506,1.0,0.3614745588437089,0.9160434683999308,0.7295285359801489
TabPFN,FILTER_MUTUAL_INFO,CFTR,TEMİZLENMİŞ,111,30,88,23,0.8260869565217391,0.8947368421052632,0.6973684210526316,0.8947368421052632,0.8947368421052632,0.3947368421052631,0.9121635782789436,0.6842105263157895
TabPFN,WRAPPER_RFE,MASTER,TEMİZLENMİŞ,2931,30,2344,587,0.8330494037478705,0.8939393939393939,0.750969696969697,0.8360323886639676,0.9604651162790696,0.538879253805215,0.9211982991363128,0.8509257887720338
TabPFN,WRAPPER_RFE,KANSER,TEMİZLENMİŞ,388,30,310,78,0.8461538461538461,0.8928571428571429,0.8100649350649352,0.8620689655172413,0.925925925925926,0.626368234149017,0.8649687324231085,0.8549382716049383
TabPFN,WRAPPER_RFE,PAH,TEMİZLENMİŞ,372,30,297,75,0.8266666666666667,0.9022556390977444,0.5687748783724016,0.8450704225352113,0.967741935483871,0.2048327448440817,0.9263856270289228,0.7568238213399504
TabPFN,WRAPPER_RFE,CFTR,TEMİZLENMİŞ,111,30,88,23,0.8260869565217391,0.8947368421052632,0.6973684210526316,0.8947368421052632,0.8947368421052632,0.3947368421052631,0.9459724150054004,0.763157894736842
TabPFN,EMBEDDED,MASTER,TEMİZLENMİŞ,2931,30,2344,587,0.8211243611584327,0.887459807073955,0.7258875798855252,0.8230616302186878,0.9627906976744186,0.5004477869470406,0.9001431956641461,0.821241297585543
TabPFN,EMBEDDED,KANSER,TEMİZLENMİŞ,388,30,310,78,0.8846153846153846,0.9203539823008848,0.8555258283597448,0.8813559322033898,0.9629629629629628,0.7217951267331445,0.8552154804778651,0.8549382716049383
TabPFN,EMBEDDED,PAH,TEMİZLENMİŞ,372,30,297,75,0.8266666666666667,0.9051094890510948,0.4525547445255474,0.8266666666666667,1.0,0.0,0.9319582685077052,0.7580645161290323
