panel,cv_mcc,test_mcc,test_f1_macro,test_roc_auc,baseline_test_mcc,max_depth,learning_rate,n_estimators,subsample,colsample_bytree,reg_lambda,reg_alpha,min_child_weight,gamma
MASTER,0.48165411645592277,0.5420854698866988,0.7680774811629167,0.8472670715449563,0.5402657129717687,4,0.0317447517430979,700,0.743548503660536,0.5025174178214448,3.036603806375178,1.4749236263139363,1,0.4622271535660897
KANSER,0.5802021599813242,0.4802989739737256,0.7332133213321332,0.8287037037037037,0.6315315278804936,4,0.08927180304353628,700,0.8394633936788146,0.4514121162875837,1.4321698289111515,0.2904180608409973,9,3.005575058716044
PAH,0.26312921202860534,0.42514123676167265,0.7083333333333333,0.7202233250620348,0.458508448893015,7,0.026452977140726728,400,0.9238450521065169,0.7583672591665463,1.4603703345715828,1.3943946075097704,4,1.7832047618466924
CFTR,0.519409665554815,0.16289594138375038,0.5787545787545787,0.5789473684210527,0.16289594138375038,4,0.06315108127785325,700,0.8884170683398009,0.7458980112319338,1.1149129893589182,1.454568276338125,1,3.4134631056675824
