model,method,panel,scenario,n_rows,n_selected_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
CatBoost,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,CFTR,CatBoost_Kategorik_String_Eksik_Veri_Korundu_Yuksek_Eksik_Sutun_Silinmis,111,68,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.95559280986607,0.8026315789473684
CatBoost,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,KANSER,CatBoost_Kategorik_String_Eksik_Veri_Korundu,388,63,310,78,0.8974358974358975,0.9298245614035088,0.8696741854636592,0.8833333333333333,0.9814814814814815,0.7556542691506458,0.9158266336551881,0.8641975308641976
CatBoost,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,MASTER,CatBoost_Kategorik_String_Eksik_Veri_Korundu,2931,68,2344,587,0.817717206132879,0.8727705112960761,0.7757245949873774,0.8929440389294404,0.8534883720930233,0.5537815008142888,0.9272236516153112,0.8613686861205747
CatBoost,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,PAH,CatBoost_Kategorik_String_Eksik_Veri_Korundu,372,58,297,75,0.88,0.9323308270676691,0.7014595311808933,0.8732394366197183,1.0,0.5183522522584925,0.9522474031099467,0.8213399503722084
