model,method,panel,veri_turu,n_rows,n_selected_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
TabNet,FILTER_ANOVA + WRAPPER_RFE,MASTER,TEMİZLENMİŞ,2931,52,2344,587,0.696763202725724,0.7712082262210797,0.6608566383630651,0.8620689655172413,0.6976744186046512,0.3531158513134361,0.8504430839932763,0.7333728336542734
TabNet,FILTER_ANOVA + WRAPPER_RFE,KANSER,TEMİZLENMİŞ,388,50,310,78,0.8461538461538461,0.8983050847457628,0.7912578055307762,0.828125,0.9814814814814815,0.6291775070021658,0.8643997450050882,0.7901234567901234
TabNet,FILTER_ANOVA + WRAPPER_RFE,PAH,TEMİZLENMİŞ,372,47,297,75,0.7733333333333333,0.8571428571428571,0.6543778801843317,0.8947368421052632,0.8225806451612904,0.32000133319995666,0.8700255215834838,0.6377171215880894
TabNet,FILTER_ANOVA + WRAPPER_RFE,CFTR,TEMİZLENMİŞ,111,52,88,23,0.34782608695652173,0.34782608695652173,0.34782608695652173,1.0,0.21052631578947367,0.21052631578947367,0.9577573120305722,0.8157894736842105
