model,method,panel,scenario,n_rows,n_selected_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
CatBoost,FILTER_MUTUAL_INFO + EMBEDDED,CFTR,CatBoost_Kategorik_String_Eksik_Veri_Korundu_Yuksek_Eksik_Sutun_Silinmis,111,53,88,23,0.8260869565217391,0.8947368421052632,0.6973684210526316,0.8947368421052632,0.8947368421052632,0.39473684210526316,0.9453285127596676,0.7763157894736842
CatBoost,FILTER_MUTUAL_INFO + EMBEDDED,KANSER,CatBoost_Kategorik_String_Eksik_Veri_Korundu,388,49,310,78,0.8717948717948718,0.9107142857142857,0.8417207792207793,0.8793103448275862,0.9444444444444444,0.6899837579297765,0.9371780261528675,0.8989197530864197
CatBoost,FILTER_MUTUAL_INFO + EMBEDDED,MASTER,CatBoost_Kategorik_String_Eksik_Veri_Korundu,2931,51,2344,587,0.8160136286201022,0.8726415094339622,0.77067658293784,0.8851674641148325,0.8604651162790697,0.5422958423854682,0.9313021562614375,0.8620796918974966
CatBoost,FILTER_MUTUAL_INFO + EMBEDDED,PAH,CatBoost_Kategorik_String_Eksik_Veri_Korundu,372,51,297,75,0.88,0.9323308270676691,0.7014595311808933,0.8732394366197183,1.0,0.5183522522584925,0.940708666870363,0.7853598014888337
