model,method,panel,scenario,n_rows,n_selected_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
TabPFN,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,CFTR,TabPFN_Ordinal_Encoding_Eksik_Veri_Medyan,111,59,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.8793504548698454,0.7105263157894737
TabPFN,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,KANSER,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama,388,59,310,78,0.8717948717948718,0.9122807017543859,0.8370927318295739,0.8666666666666667,0.9629629629629629,0.6897247020435424,0.9390227369164481,0.8842592592592593
TabPFN,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,MASTER,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama,2931,56,2344,587,0.838160136286201,0.895947426067908,0.7659813758692031,0.8467908902691511,0.9511627906976744,0.556258783892331,0.9379544255104452,0.8652347800325878
TabPFN,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,PAH,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama_Yuksek_Eksik_Sutun_Silinmis,372,56,297,75,0.8533333333333334,0.9172932330827067,0.6351172047766475,0.8591549295774648,0.9838709677419355,0.36159249855128706,0.9530989974847865,0.826302729528536
