model,scenario,panel,n_rows,n_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
XGBoost,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,CFTR,111,351,88,23,0.782608695652174,0.8717948717948718,0.5787545787545787,0.85,0.8947368421052632,0.16289594138375038,0.9307008351125994,0.7236842105263157
XGBoost,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,KANSER,388,351,310,78,0.8717948717948718,0.9107142857142857,0.8417207792207793,0.8793103448275862,0.9444444444444444,0.6899837579297765,0.9135916924077511,0.8626543209876544
XGBoost,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,MASTER,2931,351,2344,587,0.817717206132879,0.8748538011695907,0.7697153018387138,0.88,0.8697674418604651,0.5395977766231244,0.921183765013589,0.8372389275662865
XGBoost,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,PAH,372,351,297,75,0.8666666666666667,0.9242424242424242,0.6843434343434343,0.8714285714285714,0.9838709677419355,0.4424521595673921,0.9081546683037438,0.7084367245657568
