model,method,panel,scenario,n_rows,n_selected_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
CatBoost,FILTER_ANOVA,CFTR,CatBoost_Kategorik_String_Eksik_Veri_Korundu_Yuksek_Eksik_Sutun_Silinmis,111,30,88,23,0.8260869565217391,0.9,0.6166666666666667,0.8571428571428571,0.9473684210526316,0.2654971220267957,0.8986569095091175,0.6842105263157895
CatBoost,FILTER_ANOVA,KANSER,CatBoost_Kategorik_String_Eksik_Veri_Korundu,388,30,310,78,0.8846153846153846,0.918918918918919,0.8594594594594596,0.8947368421052632,0.9444444444444444,0.7225916412701,0.9190886116408568,0.8668981481481481
CatBoost,FILTER_ANOVA,MASTER,CatBoost_Kategorik_String_Eksik_Veri_Korundu,2931,30,2344,587,0.7512776831345827,0.8193069306930693,0.7101999134339663,0.8756613756613757,0.7697674418604651,0.4348468937025225,0.8862196703867904,0.791253147681825
CatBoost,FILTER_ANOVA,PAH,CatBoost_Kategorik_String_Eksik_Veri_Korundu,372,30,297,75,0.8533333333333334,0.9172932330827068,0.6351172047766475,0.8591549295774648,0.9838709677419356,0.361592498551287,0.9469517063081444,0.815136476426799
CatBoost,FILTER_MUTUAL_INFO,CFTR,CatBoost_Kategorik_String_Eksik_Veri_Korundu_Yuksek_Eksik_Sutun_Silinmis,111,30,88,23,0.8695652173913043,0.9230769230769232,0.7472527472527473,0.9,0.9473684210526316,0.5034965460952284,0.9379008527004288,0.75
CatBoost,FILTER_MUTUAL_INFO,KANSER,CatBoost_Kategorik_String_Eksik_Veri_Korundu,388,30,310,78,0.8846153846153846,0.9203539823008848,0.8555258283597448,0.8813559322033898,0.9629629629629628,0.7217951267331445,0.9371289103823288,0.8850308641975309
CatBoost,FILTER_MUTUAL_INFO,MASTER,CatBoost_Kategorik_String_Eksik_Veri_Korundu,2931,30,2344,587,0.7904599659284497,0.850546780072904,0.7500597148227768,0.8905852417302799,0.813953488372093,0.5082009472066447,0.9107356953283544,0.835853947563324
CatBoost,FILTER_MUTUAL_INFO,PAH,CatBoost_Kategorik_String_Eksik_Veri_Korundu,372,30,297,75,0.8666666666666667,0.9253731343283582,0.6501865671641791,0.8611111111111112,1.0,0.4457779141208643,0.9172281540107484,0.7196029776674938
CatBoost,WRAPPER_RFE,CFTR,CatBoost_Kategorik_String_Eksik_Veri_Korundu_Yuksek_Eksik_Sutun_Silinmis,111,30,88,23,0.782608695652174,0.8648648648648649,0.6546546546546547,0.8888888888888888,0.8421052631578947,0.3143730417143384,0.9307194376242768,0.7236842105263157
CatBoost,WRAPPER_RFE,KANSER,CatBoost_Kategorik_String_Eksik_Veri_Korundu,388,30,310,78,0.8846153846153846,0.9203539823008848,0.8555258283597448,0.8813559322033898,0.9629629629629628,0.7217951267331445,0.8971132356632682,0.8634259259259258
CatBoost,WRAPPER_RFE,MASTER,CatBoost_Kategorik_String_Eksik_Veri_Korundu,2931,30,2344,587,0.817717206132879,0.8724672228843862,0.7765321189048797,0.8948655256723717,0.8511627906976744,0.5559003976812982,0.9264114677360696,0.8599022367056733
CatBoost,WRAPPER_RFE,PAH,CatBoost_Kategorik_String_Eksik_Veri_Korundu,372,30,297,75,0.8666666666666667,0.9253731343283582,0.6501865671641791,0.8611111111111112,1.0,0.4457779141208643,0.9379546971771936,0.7555831265508685
CatBoost,EMBEDDED,CFTR,CatBoost_Kategorik_String_Eksik_Veri_Korundu_Yuksek_Eksik_Sutun_Silinmis,111,30,88,23,0.8260869565217391,0.8947368421052632,0.6973684210526316,0.8947368421052632,0.8947368421052632,0.3947368421052631,0.9471316502826196,0.7894736842105263
CatBoost,EMBEDDED,KANSER,CatBoost_Kategorik_String_Eksik_Veri_Korundu,388,30,310,78,0.8974358974358975,0.9298245614035088,0.8696741854636592,0.8833333333333333,0.9814814814814816,0.7556542691506458,0.936010133187134,0.902006172839506
