model,method,panel,scenario,n_rows,n_selected_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
CatBoost,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,CFTR,CatBoost_Kategorik_String_Eksik_Veri_Korundu_Yuksek_Eksik_Sutun_Silinmis,111,69,88,23,0.8260869565217391,0.8947368421052632,0.6973684210526316,0.8947368421052632,0.8947368421052632,0.39473684210526316,0.9381470976835158,0.75
CatBoost,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,KANSER,CatBoost_Kategorik_String_Eksik_Veri_Korundu,388,55,310,78,0.8846153846153846,0.9203539823008849,0.8555258283597448,0.8813559322033898,0.9629629629629629,0.7217951267331445,0.9172019325226727,0.886574074074074
CatBoost,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,MASTER,CatBoost_Kategorik_String_Eksik_Veri_Korundu,2931,56,2344,587,0.8126064735945485,0.8690476190476191,0.7698531508411748,0.8902439024390244,0.8488372093023255,0.5422585147865039,0.9317174006385439,0.860939120130351
CatBoost,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,PAH,CatBoost_Kategorik_String_Eksik_Veri_Korundu,372,63,297,75,0.8933333333333333,0.9393939393939394,0.7474747474747475,0.8857142857142857,1.0,0.5836602955995385,0.9438785929153212,0.7866004962779156
