model,method,panel,veri_turu,n_rows,n_selected_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
TabNet,EMBEDDED,MASTER,TEMİZLENMİŞ,2931,30,2344,587,0.7240204429301533,0.7964824120603015,0.6839554917444364,0.8661202185792349,0.7372093023255814,0.38837031806137823,0.8844848519902577,0.7831284254184565
TabNet,EMBEDDED,KANSER,TEMİZLENMİŞ,388,30,310,78,0.7564102564102564,0.8376068376068376,0.6752136752136753,0.7777777777777778,0.9074074074074074,0.37951669503554064,0.8471020006057713,0.7229938271604939
TabNet,EMBEDDED,PAH,TEMİZLENMİŞ,372,30,297,75,0.72,0.8205128205128205,0.592074592074592,0.8727272727272727,0.7741935483870968,0.20178539880021068,0.9008296045634623,0.6712158808933002
TabNet,EMBEDDED,CFTR,TEMİZLENMİŞ,111,30,88,23,0.6521739130434783,0.7894736842105263,0.39473684210526316,0.7894736842105263,0.7894736842105263,-0.21052631578947367,0.8316740049802515,0.4276315789473684
