model,veri_turu,method,panel,scenario,n_rows,n_selected_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
CatBoost,ORİJİNAL_VERİ_COMBINED,FILTER_ANOVA + EMBEDDED,MASTER,CatBoost_Kategorik_String_Eksik_Veri_Korundu,2931,89,2344,587,0.8245315161839863,0.8775267538644471,0.7841087222775689,0.8978102189781022,0.858139534883721,0.5705814047383172,0.9296595148609034,0.857235965042216
CatBoost,ORİJİNAL_VERİ_COMBINED,FILTER_ANOVA + EMBEDDED,KANSER,CatBoost_Kategorik_String_Eksik_Veri_Korundu,388,90,310,78,0.8846153846153846,0.9203539823008848,0.8555258283597448,0.8813559322033898,0.9629629629629628,0.7217951267331445,0.9288158335475206,0.8819444444444444
CatBoost,ORİJİNAL_VERİ_COMBINED,FILTER_ANOVA + EMBEDDED,PAH,CatBoost_Kategorik_String_Eksik_Veri_Korundu,372,79,297,75,0.8666666666666667,0.9242424242424242,0.6843434343434343,0.8714285714285714,0.9838709677419356,0.4424521595673921,0.9398771430873772,0.7791563275434243
CatBoost,ORİJİNAL_VERİ_COMBINED,FILTER_ANOVA + EMBEDDED,CFTR,CatBoost_Kategorik_String_Eksik_Veri_Korundu_Yuksek_Eksik_Sutun_Silinmis,111,78,88,23,0.8695652173913043,0.9230769230769232,0.7472527472527473,0.9,0.9473684210526316,0.5034965460952284,0.9479486995903808,0.7763157894736842
CatBoost,ORİJİNAL_VERİ_COMBINED,FILTER_MUTUAL_INFO + WRAPPER_RFE,MASTER,CatBoost_Kategorik_String_Eksik_Veri_Korundu,2931,73,2344,587,0.8245315161839863,0.8786808009422851,0.7808788620096041,0.8902147971360382,0.8674418604651163,0.562565761879728,0.9289555169234922,0.8613983113612799
CatBoost,ORİJİNAL_VERİ_COMBINED,FILTER_MUTUAL_INFO + WRAPPER_RFE,KANSER,CatBoost_Kategorik_String_Eksik_Veri_Korundu,388,71,310,78,0.8846153846153846,0.9203539823008848,0.8555258283597448,0.8813559322033898,0.9629629629629628,0.7217951267331445,0.8722661776151183,0.8348765432098765
CatBoost,ORİJİNAL_VERİ_COMBINED,FILTER_MUTUAL_INFO + WRAPPER_RFE,PAH,CatBoost_Kategorik_String_Eksik_Veri_Korundu,372,85,297,75,0.8666666666666667,0.9242424242424242,0.6843434343434343,0.8714285714285714,0.9838709677419356,0.4424521595673921,0.9317137350181124,0.7741935483870968
CatBoost,ORİJİNAL_VERİ_COMBINED,FILTER_MUTUAL_INFO + WRAPPER_RFE,CFTR,CatBoost_Kategorik_String_Eksik_Veri_Korundu_Yuksek_Eksik_Sutun_Silinmis,111,83,88,23,0.782608695652174,0.8717948717948718,0.5787545787545787,0.85,0.8947368421052632,0.1628959413837503,0.9220278368274128,0.7236842105263157
CatBoost,ORİJİNAL_VERİ_COMBINED,FILTER_MUTUAL_INFO + EMBEDDED,MASTER,CatBoost_Kategorik_String_Eksik_Veri_Korundu,2931,82,2344,587,0.817717206132879,0.8724672228843862,0.7765321189048797,0.8948655256723717,0.8511627906976744,0.5559003976812982,0.9315954574900184,0.860198489112724
CatBoost,ORİJİNAL_VERİ_COMBINED,FILTER_MUTUAL_INFO + EMBEDDED,KANSER,CatBoost_Kategorik_String_Eksik_Veri_Korundu,388,79,310,78,0.8974358974358975,0.9298245614035088,0.8696741854636592,0.8833333333333333,0.9814814814814816,0.7556542691506458,0.924810333089958,0.8719135802469136
