panel,config,n_feat,mcc,f1,pr_auc,recall,precision,tp,fp,tn,fn
MASTER,TEMİZLENMİŞ+WRAPPER_RFE(k=50),50,0.576968207363068,0.8801897983392646,0.8723744630425123,0.8627906976744186,0.8983050847457628,371,42,115,59
KANSER,TEMİZLENMİŞ+KNN,192,0.7556542691506458,0.9298245614035088,0.8541666666666666,0.9814814814814815,0.8833333333333333,53,7,17,1
PAH,ORİJİNAL+ANOVA+RFE+EMBEDDED(k=58),58,0.5183522522584925,0.9323308270676691,0.8213399503722084,1.0,0.8732394366197183,62,9,4,0
CFTR,TEMİZLENMİŞ+AL_Sifir_EK_Medyan,192,0.6725927091345493,0.95,0.736842105263158,1.0,0.9047619047619048,19,2,2,0
