model,veri_turu,scenario,panel,n_rows,n_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
TabPFN,TEMİZLENMİŞ,TABPFN_Ordinal_Encoding_AL_Sifir_EK_Medyan,CFTR,111,192,88,23,0.8260869565217391,0.8947368421052632,0.6973684210526316,0.8947368421052632,0.8947368421052632,0.39473684210526316,0.9488644505061319,0.7763157894736842
TabPFN,TEMİZLENMİŞ,TABPFN_Ordinal_Encoding_MinMaxScaler_AL_Sifir_EK_Medyan,CFTR,111,192,88,23,0.8260869565217391,0.8947368421052632,0.6973684210526316,0.8947368421052632,0.8947368421052632,0.39473684210526316,0.9510289526706339,0.7894736842105263
TabPFN,TEMİZLENMİŞ,TABPFN_Ordinal_Encoding_Eksik_Veri_KNNImputer,CFTR,111,192,88,23,0.8260869565217391,0.9,0.6166666666666667,0.8571428571428571,0.9473684210526315,0.26549712202679576,0.878950109825201,0.6052631578947368
TabPFN,TEMİZLENMİŞ,TABPFN_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_KNNImputer,CFTR,111,192,88,23,0.8260869565217391,0.9,0.6166666666666667,0.8571428571428571,0.9473684210526315,0.26549712202679576,0.8812057489229455,0.618421052631579
TabPFN,TEMİZLENMİŞ,TABPFN_Ordinal_Encoding_Eksik_Veri_Medyan,CFTR,111,192,88,23,0.782608695652174,0.8717948717948718,0.5787545787545787,0.85,0.8947368421052632,0.16289594138375038,0.8591105388083446,0.5394736842105263
TabPFN,TEMİZLENMİŞ,TABPFN_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_Medyan,CFTR,111,192,88,23,0.782608695652174,0.8717948717948718,0.5787545787545787,0.85,0.8947368421052632,0.16289594138375038,0.8591105388083446,0.5394736842105263
TabPFN,TEMİZLENMİŞ,TABPFN_Ordinal_Encoding_AL_Sifir_EK_Medyan,KANSER,388,192,310,78,0.8846153846153846,0.9217391304347826,0.8511134676564157,0.8688524590163934,0.9814814814814815,0.724581776385293,0.8733385247821044,0.845679012345679
TabPFN,TEMİZLENMİŞ,TABPFN_Ordinal_Encoding_Eksik_Veri_KNNImputer,KANSER,388,192,310,78,0.8717948717948718,0.9122807017543859,0.8370927318295739,0.8666666666666667,0.9629629629629629,0.6897247020435424,0.8871821952885781,0.8433641975308642
TabPFN,TEMİZLENMİŞ,TABPFN_Ordinal_Encoding_MinMaxScaler_AL_Sifir_EK_Medyan,KANSER,388,192,310,78,0.8717948717948718,0.9122807017543859,0.8370927318295739,0.8666666666666667,0.9629629629629629,0.6897247020435424,0.8850766393026662,0.8479938271604938
TabPFN,TEMİZLENMİŞ,TABPFN_Ordinal_Encoding_Eksik_Veri_Medyan,KANSER,388,192,310,78,0.8589743589743589,0.9026548672566371,0.8234204568841326,0.864406779661017,0.9444444444444444,0.6570824601984488,0.9003450663286282,0.8734567901234568
