model,method,panel,scenario,n_rows,n_selected_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
TabPFN,FILTER_ANOVA,CFTR,TabPFN_Ordinal_Encoding_Eksik_Veri_Medyan,111,30,88,23,0.8695652173913043,0.9230769230769232,0.7472527472527473,0.9,0.9473684210526316,0.5034965460952284,0.92333050302946,0.763157894736842
TabPFN,FILTER_ANOVA,KANSER,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama,388,30,310,78,0.8974358974358975,0.9298245614035088,0.8696741854636592,0.8833333333333333,0.9814814814814816,0.7556542691506458,0.928533077358238,0.871141975308642
TabPFN,FILTER_ANOVA,MASTER,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama,2931,30,2344,587,0.8313458262350937,0.8925081433224755,0.7506018977481943,0.8370672097759674,0.955813953488372,0.5340666644507293,0.9269720596103128,0.8490742112279662
TabPFN,FILTER_ANOVA,PAH,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama_Yuksek_Eksik_Sutun_Silinmis,372,30,297,75,0.84,0.9076923076923076,0.6538461538461539,0.8676470588235294,0.9516129032258064,0.3374234711923948,0.9423013770988838,0.813895781637717
TabPFN,FILTER_MUTUAL_INFO,CFTR,TabPFN_Ordinal_Encoding_Eksik_Veri_Medyan,111,30,88,23,0.8260869565217391,0.8947368421052632,0.6973684210526316,0.8947368421052632,0.8947368421052632,0.3947368421052631,0.9353110448474632,0.75
TabPFN,FILTER_MUTUAL_INFO,KANSER,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama,388,30,310,78,0.8589743589743589,0.9026548672566372,0.8234204568841326,0.864406779661017,0.9444444444444444,0.6570824601984488,0.8805965751999943,0.8549382716049383
TabPFN,FILTER_MUTUAL_INFO,MASTER,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama,2931,30,2344,587,0.8211243611584327,0.8864864864864865,0.7323998697492673,0.8282828282828283,0.9534883720930232,0.5017374965238678,0.912925571042987,0.8342838098059546
TabPFN,FILTER_MUTUAL_INFO,PAH,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama_Yuksek_Eksik_Sutun_Silinmis,372,30,297,75,0.84,0.9117647058823528,0.5273109243697479,0.8378378378378378,1.0,0.2538682029106135,0.9273152646431648,0.7580645161290323
TabPFN,WRAPPER_RFE,CFTR,TabPFN_Ordinal_Encoding_Eksik_Veri_Medyan,111,30,88,23,0.8260869565217391,0.8947368421052632,0.6973684210526316,0.8947368421052632,0.8947368421052632,0.3947368421052631,0.8986569095091175,0.6907894736842105
TabPFN,WRAPPER_RFE,KANSER,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama,388,30,310,78,0.8461538461538461,0.8928571428571429,0.8100649350649352,0.8620689655172413,0.925925925925926,0.626368234149017,0.9146614093480911,0.8657407407407408
