model,veri_turu,method,panel,scenario,n_rows,n_selected_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
TabPFN,TEMİZLENMİŞ_COMBINED,FILTER_ANOVA + WRAPPER_RFE,CFTR,TABPFN_Ordinal_Encoding_AL_Sifir_EK_Medyan,111,50,88,23,0.8260869565217391,0.8947368421052632,0.6973684210526316,0.8947368421052632,0.8947368421052632,0.3947368421052631,0.9728822155068688,0.868421052631579
TabPFN,TEMİZLENMİŞ_COMBINED,FILTER_ANOVA + EMBEDDED,MASTER,TABPFN_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_Medyan,2931,52,2344,587,0.8534923339011925,0.9067245119305856,0.7827273353303722,0.8495934959349594,0.972093023255814,0.6018182855085712,0.9289894520145996,0.8624648200266628
TabPFN,TEMİZLENMİŞ_COMBINED,FILTER_ANOVA + EMBEDDED,KANSER,TABPFN_Ordinal_Encoding_AL_Sifir_EK_Medyan,388,52,310,78,0.8846153846153846,0.9217391304347826,0.8511134676564157,0.8688524590163934,0.9814814814814816,0.724581776385293,0.8880738691477388,0.8819444444444445
TabPFN,TEMİZLENMİŞ_COMBINED,FILTER_ANOVA + EMBEDDED,PAH,TABPFN_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_KNNImputer,372,45,297,75,0.8666666666666667,0.9253731343283582,0.6501865671641791,0.8611111111111112,1.0,0.4457779141208643,0.943394410002387,0.78287841191067
TabPFN,TEMİZLENMİŞ_COMBINED,FILTER_ANOVA + EMBEDDED,CFTR,TABPFN_Ordinal_Encoding_AL_Sifir_EK_Medyan,111,49,88,23,0.8260869565217391,0.8947368421052632,0.6973684210526316,0.8947368421052632,0.8947368421052632,0.3947368421052631,0.9815398567720546,0.9078947368421052
TabPFN,TEMİZLENMİŞ_COMBINED,FILTER_MUTUAL_INFO + WRAPPER_RFE,MASTER,TABPFN_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_Medyan,2931,42,2344,587,0.8551959114139693,0.9079089924160346,0.7846317870446706,0.8498985801217038,0.9744186046511628,0.6072039732095807,0.9158269183749754,0.8522144867427047
TabPFN,TEMİZLENMİŞ_COMBINED,FILTER_MUTUAL_INFO + WRAPPER_RFE,KANSER,TABPFN_Ordinal_Encoding_AL_Sifir_EK_Medyan,388,40,310,78,0.8846153846153846,0.9203539823008848,0.8555258283597448,0.8813559322033898,0.9629629629629628,0.7217951267331445,0.8967846561752716,0.841820987654321
TabPFN,TEMİZLENMİŞ_COMBINED,FILTER_MUTUAL_INFO + WRAPPER_RFE,PAH,TABPFN_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_KNNImputer,372,52,297,75,0.88,0.9323308270676692,0.7014595311808933,0.8732394366197183,1.0,0.5183522522584925,0.9104876641911313,0.7344913151364765
TabPFN,TEMİZLENMİŞ_COMBINED,FILTER_MUTUAL_INFO + WRAPPER_RFE,CFTR,TABPFN_Ordinal_Encoding_AL_Sifir_EK_Medyan,111,44,88,23,0.782608695652174,0.8648648648648649,0.6546546546546547,0.8888888888888888,0.8421052631578947,0.3143730417143384,0.9337710105511958,0.736842105263158
TabPFN,TEMİZLENMİŞ_COMBINED,FILTER_MUTUAL_INFO + EMBEDDED,MASTER,TABPFN_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_Medyan,2931,43,2344,587,0.8466780238500852,0.9021739130434784,0.7739216021910305,0.8469387755102041,0.9651162790697676,0.5808900452321368,0.9239729333100922,0.8545400681380536
