model,veri_turu,method,panel,scenario,n_rows,n_selected_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
CatBoost,ORİJİNAL_VERİ_COMBINED,FILTER_MUTUAL_INFO,MASTER,CatBoost_Kategorik_String_Eksik_Veri_Korundu,2931,50,2344,587,0.8126064735945485,0.8693586698337292,0.769016684314455,0.8883495145631068,0.8511627906976744,0.5401100505804198,0.9198470646483864,0.8523181750851725
CatBoost,ORİJİNAL_VERİ_COMBINED,FILTER_MUTUAL_INFO,KANSER,CatBoost_Kategorik_String_Eksik_Veri_Korundu,388,50,310,78,0.8717948717948718,0.9107142857142857,0.8417207792207793,0.8793103448275862,0.9444444444444444,0.6899837579297765,0.8872793355681792,0.878858024691358
CatBoost,ORİJİNAL_VERİ_COMBINED,FILTER_MUTUAL_INFO,PAH,CatBoost_Kategorik_String_Eksik_Veri_Korundu,372,50,297,75,0.8266666666666667,0.9022556390977443,0.5687748783724016,0.8450704225352113,0.967741935483871,0.2048327448440817,0.885784822088316,0.6774193548387096
CatBoost,ORİJİNAL_VERİ_COMBINED,FILTER_MUTUAL_INFO,CFTR,CatBoost_Kategorik_String_Eksik_Veri_Korundu_Yuksek_Eksik_Sutun_Silinmis,111,50,88,23,0.8260869565217391,0.9,0.6166666666666667,0.8571428571428571,0.9473684210526315,0.26549712202679576,0.9431640105951655,0.7631578947368421
