model,method,panel,veri_turu,n_rows,n_selected_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
TabNet,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,MASTER,TEMİZLENMİŞ,2931,69,2344,587,0.7427597955706985,0.810062893081761,0.7058230032691127,0.8821917808219178,0.7488372093023256,0.43352158556912285,0.8851655211312079,0.7896163531328693
TabNet,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,KANSER,TEMİZLENMİŞ,388,73,310,78,0.7564102564102564,0.8429752066115702,0.6500590318772137,0.7611940298507462,0.9444444444444444,0.3683547343418786,0.8222612625416409,0.7615740740740741
TabNet,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,PAH,TEMİZLENMİŞ,372,70,297,75,0.8533333333333334,0.916030534351145,0.6685415829650462,0.8695652173913043,0.967741935483871,0.3843131836828443,0.9085992534125897,0.6687344913151365
TabNet,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,CFTR,TEMİZLENMİŞ,111,73,88,23,0.782608695652174,0.8648648648648649,0.6546546546546547,0.8888888888888888,0.8421052631578947,0.3143730417143384,0.9191705295571897,0.6973684210526315
