model,k,method,panel,veri_turu,n_rows,n_selected_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
CatBoost,10,EMBEDDED,PAH,TEMİZLENMİŞ,372,10,297,75,0.88,0.9302325581395349,0.7508305647840532,0.8955223880597015,0.967741935483871,0.5264124875352719,0.933568162830311,0.7729528535980149
CatBoost,10,FILTER_ANOVA + WRAPPER_RFE,PAH,TEMİZLENMİŞ,372,16,297,75,0.8666666666666667,0.9242424242424242,0.6843434343434343,0.8714285714285714,0.9838709677419355,0.4424521595673921,0.9437495038854817,0.8114143920595533
CatBoost,10,FILTER_ANOVA + EMBEDDED,PAH,TEMİZLENMİŞ,372,14,297,75,0.8266666666666667,0.9007633587786259,0.6082764162314183,0.855072463768116,0.9516129032258065,0.25447764865485634,0.9247999450000227,0.7468982630272953
CatBoost,10,FILTER_MUTUAL_INFO + WRAPPER_RFE,PAH,TEMİZLENMİŞ,372,18,297,75,0.8666666666666667,0.9253731343283582,0.6501865671641791,0.8611111111111112,1.0,0.4457779141208643,0.9357688148187341,0.7667493796526055
CatBoost,10,FILTER_MUTUAL_INFO + EMBEDDED,PAH,TEMİZLENMİŞ,372,18,297,75,0.8533333333333334,0.916030534351145,0.6685415829650462,0.8695652173913043,0.967741935483871,0.3843131836828443,0.9303123355227627,0.7630272952853598
CatBoost,10,WRAPPER_RFE + EMBEDDED,PAH,TEMİZLENMİŞ,372,16,297,75,0.8666666666666667,0.9253731343283582,0.6501865671641791,0.8611111111111112,1.0,0.4457779141208643,0.9473908818055297,0.8163771712158808
CatBoost,10,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,PAH,TEMİZLENMİŞ,372,19,297,75,0.8666666666666667,0.9253731343283582,0.6501865671641791,0.8611111111111112,1.0,0.4457779141208643,0.9460631908523695,0.8151364764267991
CatBoost,10,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,PAH,TEMİZLENMİŞ,372,24,297,75,0.8666666666666667,0.9253731343283582,0.6501865671641791,0.8611111111111112,1.0,0.4457779141208643,0.9415454410232437,0.7903225806451613
CatBoost,10,FILTER_ANOVA,CFTR,TEMİZLENMİŞ,111,10,88,23,0.8260869565217391,0.9,0.6166666666666667,0.8571428571428571,0.9473684210526315,0.26549712202679576,0.9502441787658502,0.8026315789473684
CatBoost,10,FILTER_MUTUAL_INFO,CFTR,TEMİZLENMİŞ,111,10,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9396937965986358,0.75
CatBoost,10,WRAPPER_RFE,CFTR,TEMİZLENMİŞ,111,10,88,23,0.8260869565217391,0.8947368421052632,0.6973684210526316,0.8947368421052632,0.8947368421052632,0.39473684210526316,0.962711568300618,0.8289473684210527
CatBoost,10,EMBEDDED,CFTR,TEMİZLENMİŞ,111,10,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.970530525229482,0.868421052631579
CatBoost,10,FILTER_ANOVA + WRAPPER_RFE,CFTR,TEMİZLENMİŞ,111,17,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9747416111580194,0.881578947368421
CatBoost,10,FILTER_ANOVA + EMBEDDED,CFTR,TEMİZLENMİŞ,111,17,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9728822155068688,0.868421052631579
CatBoost,10,FILTER_MUTUAL_INFO + WRAPPER_RFE,CFTR,TEMİZLENMİŞ,111,15,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9683660230649798,0.8552631578947367
CatBoost,10,FILTER_MUTUAL_INFO + EMBEDDED,CFTR,TEMİZLENMİŞ,111,16,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9523346645026616,0.7894736842105263
CatBoost,10,WRAPPER_RFE + EMBEDDED,CFTR,TEMİZLENMİŞ,111,15,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9868003341687548,0.9342105263157895
CatBoost,10,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,CFTR,TEMİZLENMİŞ,111,22,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9820196424074537,0.9078947368421052
CatBoost,10,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,CFTR,TEMİZLENMİŞ,111,20,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9715379457415465,0.868421052631579
CatBoost,20,FILTER_ANOVA,MASTER,TEMİZLENMİŞ,2931,20,2344,587,0.7717206132879046,0.8369829683698297,0.7281505750940057,0.8775510204081632,0.8,0.46450006986543274,0.8871315766483822,0.8013775736927863
CatBoost,20,FILTER_MUTUAL_INFO,MASTER,TEMİZLENMİŞ,2931,20,2344,587,0.7768313458262351,0.8423586040914561,0.7302172029203636,0.8728179551122195,0.813953488372093,0.4653335400689758,0.8952072926722385,0.7994371204266034
CatBoost,20,WRAPPER_RFE,MASTER,TEMİZLENMİŞ,2931,20,2344,587,0.8091993185689949,0.8647342995169082,0.7705174387757951,0.8994974874371859,0.8325581395348837,0.5473623536505251,0.9139517752175312,0.8431787883276551
CatBoost,20,EMBEDDED,MASTER,TEMİZLENMİŞ,2931,20,2344,587,0.807495741056218,0.8643457382953181,0.7664837195875418,0.8933002481389578,0.8372093023255814,0.5375029310529139,0.92787814877757,0.8646126499777811
CatBoost,20,FILTER_ANOVA + WRAPPER_RFE,MASTER,TEMİZLENMİŞ,2931,32,2344,587,0.8126064735945485,0.86810551558753,0.7722880519114121,0.8960396039603961,0.8418604651162791,0.5488331364743912,0.9175639519007066,0.8426899718560212
CatBoost,20,FILTER_ANOVA + EMBEDDED,MASTER,TEMİZLENMİŞ,2931,35,2344,587,0.8143100511073254,0.8694610778443114,0.7739635772702382,0.8962962962962963,0.8441860465116279,0.5518846308103025,0.9288282382596228,0.8617834394904458
CatBoost,20,FILTER_MUTUAL_INFO + WRAPPER_RFE,MASTER,TEMİZLENMİŞ,2931,28,2344,587,0.817717206132879,0.8712394705174489,0.7796430588738847,0.9027431421446384,0.8418604651162791,0.5646009372902316,0.9097413990077063,0.8429269737816619
CatBoost,20,FILTER_MUTUAL_INFO + EMBEDDED,MASTER,TEMİZLENMİŞ,2931,30,2344,587,0.8228279386712095,0.8764845605700713,0.7816157742609393,0.8956310679611651,0.858139534883721,0.5653511152551218,0.9299915211023398,0.8658569100873944
CatBoost,20,WRAPPER_RFE + EMBEDDED,MASTER,TEMİZLENMİŞ,2931,29,2344,587,0.8211243611584327,0.874251497005988,0.7822584918658259,0.9012345679012346,0.8488372093023255,0.5685272178635837,0.9315012059298813,0.8647163383202487
CatBoost,20,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,MASTER,TEMİZLENMİŞ,2931,41,2344,587,0.8160136286201022,0.8714285714285714,0.7740376390076988,0.8926829268292683,0.8511627906976744,0.5506449131050305,0.9244840861365995,0.8607169308250631
CatBoost,20,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,MASTER,TEMİZLENMİŞ,2931,36,2344,587,0.8228279386712095,0.8761904761904762,0.7824066153407471,0.8975609756097561,0.8558139534883721,0.5674177097420838,0.9280970370341028,0.8690268108428382
CatBoost,20,FILTER_ANOVA,KANSER,TEMİZLENMİŞ,388,20,310,78,0.8717948717948718,0.9090909090909091,0.8458498023715415,0.8928571428571429,0.9259259259259259,0.6932601734627976,0.9103269946632561,0.8568672839506173
CatBoost,20,FILTER_MUTUAL_INFO,KANSER,TEMİZLENMİŞ,388,20,310,78,0.8717948717948718,0.9107142857142857,0.8417207792207793,0.8793103448275862,0.9444444444444444,0.6899837579297765,0.9191689422857943,0.8618827160493827
CatBoost,20,WRAPPER_RFE,KANSER,TEMİZLENMİŞ,388,20,310,78,0.8461538461538461,0.8909090909090909,0.8150197628458498,0.875,0.9074074074074074,0.6315315278804936,0.8841810557851865,0.8564814814814814
CatBoost,20,EMBEDDED,KANSER,TEMİZLENMİŞ,388,20,310,78,0.8846153846153846,0.9174311926605505,0.8629709154792113,0.9090909090909091,0.9259259259259259,0.7263320112742305,0.918111796663765,0.8912037037037036
CatBoost,20,FILTER_ANOVA + WRAPPER_RFE,KANSER,TEMİZLENMİŞ,388,34,310,78,0.8589743589743589,0.9009009009009009,0.8282282282282283,0.8771929824561403,0.9259259259259259,0.6599670323600246,0.9142468429776958,0.8734567901234567
CatBoost,20,FILTER_ANOVA + EMBEDDED,KANSER,TEMİZLENMİŞ,388,33,310,78,0.8717948717948718,0.9107142857142857,0.8417207792207793,0.8793103448275862,0.9444444444444444,0.6899837579297765,0.9087752167443832,0.8665123456790123
CatBoost,20,FILTER_MUTUAL_INFO + WRAPPER_RFE,KANSER,TEMİZLENMİŞ,388,27,310,78,0.8589743589743589,0.9009009009009009,0.8282282282282283,0.8771929824561403,0.9259259259259259,0.6599670323600246,0.8838446708178235,0.8518518518518517
