model,veri_turu,method,panel,scenario,n_rows,n_selected_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
CatBoost,TEMİZLENMİŞ_COMBINED,FILTER_ANOVA + EMBEDDED,MASTER,CATBOOST_Kategorik_String_Eksik_Veri_Korundu,2931,88,2344,587,0.8194207836456558,0.8744075829383886,0.7765977308631338,0.8913043478260869,0.858139534883721,0.5548667704783143,0.9387468263738872,0.8689823729817805
CatBoost,TEMİZLENMİŞ_COMBINED,FILTER_ANOVA + EMBEDDED,KANSER,CATBOOST_Kategorik_String_Eksik_Veri_KNNImputer,388,76,310,78,0.8589743589743589,0.9009009009009008,0.8282282282282283,0.8771929824561403,0.925925925925926,0.6599670323600246,0.9158106992321532,0.8603395061728396
CatBoost,TEMİZLENMİŞ_COMBINED,FILTER_ANOVA + EMBEDDED,PAH,CATBOOST_Kategorik_String_AL_Sifir_EK_Medyan,372,72,297,75,0.88,0.9323308270676692,0.7014595311808933,0.8732394366197183,1.0,0.5183522522584925,0.9481724611084322,0.7977667493796525
CatBoost,TEMİZLENMİŞ_COMBINED,FILTER_ANOVA + EMBEDDED,CFTR,CATBOOST_Kategorik_String_AL_Sifir_EK_Medyan,111,83,88,23,0.8695652173913043,0.9230769230769232,0.7472527472527473,0.9,0.9473684210526316,0.5034965460952284,0.9686354689613608,0.8552631578947368
CatBoost,TEMİZLENMİŞ_COMBINED,FILTER_MUTUAL_INFO + WRAPPER_RFE,MASTER,CATBOOST_Kategorik_String_Eksik_Veri_Korundu,2931,69,2344,587,0.8296422487223168,0.8817966903073287,0.7884593207634204,0.8966346153846154,0.8674418604651163,0.5782310464991395,0.9279045543753546,0.8641830839875574
CatBoost,TEMİZLENMİŞ_COMBINED,FILTER_MUTUAL_INFO + WRAPPER_RFE,KANSER,CATBOOST_Kategorik_String_Eksik_Veri_KNNImputer,388,74,310,78,0.8846153846153846,0.9203539823008848,0.8555258283597448,0.8813559322033898,0.9629629629629628,0.7217951267331445,0.8949339314250044,0.8425925925925926
CatBoost,TEMİZLENMİŞ_COMBINED,FILTER_MUTUAL_INFO + WRAPPER_RFE,PAH,CATBOOST_Kategorik_String_AL_Sifir_EK_Medyan,372,81,297,75,0.8533333333333334,0.9172932330827068,0.6351172047766475,0.8591549295774648,0.9838709677419356,0.361592498551287,0.9427948751701372,0.7990074441687346
CatBoost,TEMİZLENMİŞ_COMBINED,FILTER_MUTUAL_INFO + WRAPPER_RFE,CFTR,CATBOOST_Kategorik_String_AL_Sifir_EK_Medyan,111,77,88,23,0.8695652173913043,0.9230769230769232,0.7472527472527473,0.9,0.9473684210526316,0.5034965460952284,0.9586629853046664,0.8157894736842105
CatBoost,TEMİZLENMİŞ_COMBINED,FILTER_MUTUAL_INFO + EMBEDDED,MASTER,CATBOOST_Kategorik_String_Eksik_Veri_Korundu,2931,74,2344,587,0.82793867120954,0.8810365135453475,0.7851336413880583,0.8926014319809069,0.8697674418604651,0.5710809136866283,0.9285549227588126,0.8655458450599912
CatBoost,TEMİZLENMİŞ_COMBINED,FILTER_MUTUAL_INFO + EMBEDDED,KANSER,CATBOOST_Kategorik_String_Eksik_Veri_KNNImputer,388,76,310,78,0.8846153846153846,0.9203539823008848,0.8555258283597448,0.8813559322033898,0.9629629629629628,0.7217951267331445,0.9029836162516416,0.8580246913580246
