model,method,panel,veri_turu,n_rows,n_selected_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
XGBoost,FILTER_ANOVA,MASTER,TEMİZLENMİŞ,2931,50,2344,587,0.7649063032367973,0.8353221957040573,0.7123039549948857,0.8578431372549019,0.813953488372093,0.427390972292295,0.8930376548202037,0.8028440231076878
XGBoost,FILTER_ANOVA,KANSER,TEMİZLENMİŞ,388,50,310,78,0.8717948717948718,0.9107142857142857,0.8417207792207793,0.8793103448275862,0.9444444444444444,0.6899837579297765,0.8853099281830149,0.8541666666666666
XGBoost,FILTER_ANOVA,PAH,TEMİZLENMİŞ,372,50,297,75,0.9066666666666666,0.9457364341085271,0.8062015503875969,0.9104477611940298,0.9838709677419355,0.6405192406137268,0.9452606237808086,0.8163771712158808
XGBoost,FILTER_ANOVA,CFTR,TEMİZLENMİŞ,111,50,88,23,0.782608695652174,0.8717948717948718,0.5787545787545787,0.85,0.8947368421052632,0.16289594138375038,0.8716874355957676,0.5657894736842105
