model,method,panel,veri_turu,n_rows,n_selected_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
CatBoost,FILTER_MUTUAL_INFO + WRAPPER_RFE,PAH,TEMİZLENMİŞ,372,82,297,75,0.88,0.9323308270676692,0.7014595311808933,0.8732394366197183,1.0,0.5183522522584925,0.9466734034466848,0.8076923076923077
CatBoost,FILTER_MUTUAL_INFO + WRAPPER_RFE,CFTR,TEMİZLENMİŞ,111,71,88,23,0.8695652173913043,0.9230769230769232,0.7472527472527473,0.9,0.9473684210526316,0.5034965460952284,0.9596413928620215,0.8157894736842105
CatBoost,FILTER_MUTUAL_INFO + EMBEDDED,MASTER,TEMİZLENMİŞ,2931,75,2344,587,0.8245315161839863,0.8778173190984578,0.7833195356821594,0.8958837772397095,0.8604651162790697,0.5685405979938162,0.9417634982995534,0.8751296104280848
CatBoost,FILTER_MUTUAL_INFO + EMBEDDED,KANSER,TEMİZLENMİŞ,388,76,310,78,0.8589743589743589,0.9009009009009008,0.8282282282282283,0.8771929824561403,0.925925925925926,0.6599670323600246,0.905005650795707,0.8719135802469136
CatBoost,FILTER_MUTUAL_INFO + EMBEDDED,PAH,TEMİZLENMİŞ,372,85,297,75,0.88,0.9323308270676692,0.7014595311808933,0.8732394366197183,1.0,0.5183522522584925,0.94000224978242,0.7915632754342432
CatBoost,FILTER_MUTUAL_INFO + EMBEDDED,CFTR,TEMİZLENMİŞ,111,77,88,23,0.8260869565217391,0.8947368421052632,0.6973684210526316,0.8947368421052632,0.8947368421052632,0.3947368421052631,0.9683660230649798,0.8552631578947367
CatBoost,WRAPPER_RFE + EMBEDDED,MASTER,TEMİZLENMİŞ,2931,62,2344,587,0.8262350936967632,0.8791469194312796,0.7850280051701852,0.8961352657004831,0.8627906976744186,0.57175020589136,0.9366508951442644,0.868997185602133
CatBoost,WRAPPER_RFE + EMBEDDED,KANSER,TEMİZLENMİŞ,388,71,310,78,0.8717948717948718,0.9107142857142856,0.8417207792207793,0.8793103448275862,0.9444444444444444,0.6899837579297765,0.9246115349911804,0.8719135802469136
CatBoost,WRAPPER_RFE + EMBEDDED,PAH,TEMİZLENMİŞ,372,66,297,75,0.8666666666666667,0.9242424242424242,0.6843434343434343,0.8714285714285714,0.9838709677419356,0.4424521595673921,0.9430873682972458,0.8101736972704715
CatBoost,WRAPPER_RFE + EMBEDDED,CFTR,TEMİZLENMİŞ,111,71,88,23,0.8260869565217391,0.8947368421052632,0.6973684210526316,0.8947368421052632,0.8947368421052632,0.3947368421052631,0.9664709667968584,0.8421052631578947
CatBoost,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,MASTER,TEMİZLENMİŞ,2931,96,2344,587,0.8228279386712095,0.8767772511848341,0.7808128680166595,0.893719806763285,0.8604651162790697,0.5633084881848373,0.9329808307744664,0.866967856613835
CatBoost,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,KANSER,TEMİZLENMİŞ,388,98,310,78,0.8589743589743589,0.9009009009009008,0.8282282282282283,0.8771929824561403,0.925925925925926,0.6599670323600246,0.912577659832172,0.8688271604938271
CatBoost,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,PAH,TEMİZLENMİŞ,372,83,297,75,0.8666666666666667,0.9253731343283582,0.6501865671641791,0.8611111111111112,1.0,0.4457779141208643,0.9393213081992016,0.8027295285359801
CatBoost,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,CFTR,TEMİZLENMİŞ,111,92,88,23,0.8695652173913043,0.9230769230769232,0.7472527472527473,0.9,0.9473684210526316,0.5034965460952284,0.963400791358262,0.8289473684210527
CatBoost,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,MASTER,TEMİZLENMİŞ,2931,76,2344,587,0.8262350936967632,0.8797169811320755,0.7834167727746267,0.8923444976076556,0.8674418604651163,0.5677960554279464,0.9398893147321856,0.8741371648644646
CatBoost,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,KANSER,TEMİZLENMİŞ,388,86,310,78,0.8589743589743589,0.9009009009009008,0.8282282282282283,0.8771929824561403,0.925925925925926,0.6599670323600246,0.8997832956643838,0.8649691358024691
CatBoost,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,PAH,TEMİZLENMİŞ,372,95,297,75,0.88,0.9323308270676692,0.7014595311808933,0.8732394366197183,1.0,0.5183522522584925,0.9458165290318984,0.7990074441687345
CatBoost,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,CFTR,TEMİZLENMİŞ,111,89,88,23,0.8695652173913043,0.9230769230769232,0.7472527472527473,0.9,0.9473684210526316,0.5034965460952284,0.959589177499872,0.8157894736842105
