model,method,panel,veri_turu,n_rows,n_selected_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
TabPFN,FILTER_MUTUAL_INFO + WRAPPER_RFE,MASTER,TEMİZLENMİŞ,2931,39,2344,587,0.8330494037478705,0.8948497854077253,0.7449455538608875,0.8306772908366534,0.9697674418604652,0.5388127895747608,0.9235456528484298,0.853014368241742
TabPFN,FILTER_MUTUAL_INFO + WRAPPER_RFE,KANSER,TEMİZLENMİŞ,388,39,310,78,0.8717948717948718,0.9122807017543859,0.8370927318295739,0.8666666666666667,0.9629629629629629,0.6897247020435424,0.8738883419764049,0.864969135802469
TabPFN,FILTER_MUTUAL_INFO + WRAPPER_RFE,PAH,TEMİZLENMİŞ,372,51,297,75,0.8266666666666667,0.9051094890510949,0.45255474452554745,0.8266666666666667,1.0,0.0,0.9302546244647909,0.7568238213399503
TabPFN,FILTER_MUTUAL_INFO + WRAPPER_RFE,CFTR,TEMİZLENMİŞ,111,46,88,23,0.8260869565217391,0.8947368421052632,0.6973684210526316,0.8947368421052632,0.8947368421052632,0.39473684210526316,0.9308965996435441,0.75
