model,veri_turu,method,panel,scenario,n_rows,n_selected_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
TabPFN,ORİJİNAL_VERİ_COMBINED,FILTER_ANOVA + WRAPPER_RFE,CFTR,TabPFN_Ordinal_Encoding_Eksik_Veri_Medyan,111,52,88,23,0.8695652173913043,0.9230769230769232,0.7472527472527473,0.9,0.9473684210526316,0.5034965460952284,0.8438038678139704,0.6578947368421053
TabPFN,ORİJİNAL_VERİ_COMBINED,FILTER_ANOVA + EMBEDDED,MASTER,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama,2931,47,2344,587,0.8466780238500852,0.9017467248908296,0.7764547577942521,0.8497942386831275,0.9604651162790696,0.5810937839995601,0.92282910188306,0.8583469115686565
TabPFN,ORİJİNAL_VERİ_COMBINED,FILTER_ANOVA + EMBEDDED,KANSER,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama,388,49,310,78,0.8589743589743589,0.9026548672566372,0.8234204568841326,0.864406779661017,0.9444444444444444,0.6570824601984488,0.9056969076853058,0.8634259259259259
TabPFN,ORİJİNAL_VERİ_COMBINED,FILTER_ANOVA + EMBEDDED,PAH,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama_Yuksek_Eksik_Sutun_Silinmis,372,50,297,75,0.88,0.9323308270676692,0.7014595311808933,0.8732394366197183,1.0,0.5183522522584925,0.9304144716400652,0.781637717121588
TabPFN,ORİJİNAL_VERİ_COMBINED,FILTER_ANOVA + EMBEDDED,CFTR,TabPFN_Ordinal_Encoding_Eksik_Veri_Medyan,111,53,88,23,0.8695652173913043,0.9230769230769232,0.7472527472527473,0.9,0.9473684210526316,0.5034965460952284,0.8764948610312795,0.6447368421052632
TabPFN,ORİJİNAL_VERİ_COMBINED,FILTER_MUTUAL_INFO + WRAPPER_RFE,MASTER,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama,2931,47,2344,587,0.8296422487223168,0.8913043478260869,0.7488017802122561,0.8367346938775511,0.9534883720930232,0.5290768775446631,0.9207130780979476,0.8454821507924752
TabPFN,ORİJİNAL_VERİ_COMBINED,FILTER_MUTUAL_INFO + WRAPPER_RFE,KANSER,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama,388,44,310,78,0.8717948717948718,0.9107142857142856,0.8417207792207793,0.8793103448275862,0.9444444444444444,0.6899837579297765,0.915920241112744,0.875
TabPFN,ORİJİNAL_VERİ_COMBINED,FILTER_MUTUAL_INFO + WRAPPER_RFE,PAH,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama_Yuksek_Eksik_Sutun_Silinmis,372,51,297,75,0.8666666666666667,0.9253731343283582,0.6501865671641791,0.8611111111111112,1.0,0.4457779141208643,0.9208306954436916,0.760545905707196
TabPFN,ORİJİNAL_VERİ_COMBINED,FILTER_MUTUAL_INFO + WRAPPER_RFE,CFTR,TabPFN_Ordinal_Encoding_Eksik_Veri_Medyan,111,51,88,23,0.8260869565217391,0.8947368421052632,0.6973684210526316,0.8947368421052632,0.8947368421052632,0.3947368421052631,0.8712133004865612,0.6710526315789473
TabPFN,ORİJİNAL_VERİ_COMBINED,FILTER_MUTUAL_INFO + EMBEDDED,MASTER,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama,2931,48,2344,587,0.8415672913117547,0.8981380065717415,0.7709080837456408,0.8488612836438924,0.9534883720930232,0.5663388600243594,0.9155399418667716,0.8550585098503924
TabPFN,ORİJİNAL_VERİ_COMBINED,FILTER_MUTUAL_INFO + EMBEDDED,KANSER,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama,388,46,310,78,0.8461538461538461,0.896551724137931,0.7982758620689655,0.8387096774193549,0.9629629629629628,0.62441729108427,0.9090720768196124,0.8765432098765433
TabPFN,ORİJİNAL_VERİ_COMBINED,FILTER_MUTUAL_INFO + EMBEDDED,PAH,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama_Yuksek_Eksik_Sutun_Silinmis,372,51,297,75,0.84,0.9090909090909092,0.6212121212121212,0.8571428571428571,0.967741935483871,0.3012440235352456,0.9190057514144896,0.7233250620347395
TabPFN,ORİJİNAL_VERİ_COMBINED,FILTER_MUTUAL_INFO + EMBEDDED,CFTR,TabPFN_Ordinal_Encoding_Eksik_Veri_Medyan,111,53,88,23,0.8260869565217391,0.8947368421052632,0.6973684210526316,0.8947368421052632,0.8947368421052632,0.3947368421052631,0.8793504548698454,0.7105263157894737
TabPFN,ORİJİNAL_VERİ_COMBINED,WRAPPER_RFE + EMBEDDED,MASTER,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama,2931,41,2344,587,0.8415672913117547,0.8974641675854466,0.7745747804219367,0.8532494758909853,0.9465116279069768,0.5678900572796634,0.9114025783287548,0.8565545845059991
TabPFN,ORİJİNAL_VERİ_COMBINED,WRAPPER_RFE + EMBEDDED,KANSER,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama,388,37,310,78,0.8717948717948718,0.9107142857142856,0.8417207792207793,0.8793103448275862,0.9444444444444444,0.6899837579297765,0.9099664747846962,0.8657407407407408
TabPFN,ORİJİNAL_VERİ_COMBINED,WRAPPER_RFE + EMBEDDED,PAH,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama_Yuksek_Eksik_Sutun_Silinmis,372,36,297,75,0.8666666666666667,0.9253731343283582,0.6501865671641791,0.8611111111111112,1.0,0.4457779141208643,0.9258659102832326,0.7307692307692307
TabPFN,ORİJİNAL_VERİ_COMBINED,WRAPPER_RFE + EMBEDDED,CFTR,TabPFN_Ordinal_Encoding_Eksik_Veri_Medyan,111,40,88,23,0.8695652173913043,0.9230769230769232,0.7472527472527473,0.9,0.9473684210526316,0.5034965460952284,0.8448975110128769,0.6578947368421053
TabPFN,ORİJİNAL_VERİ_COMBINED,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,MASTER,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama,2931,57,2344,587,0.848381601362862,0.9027322404371584,0.7795514484039074,0.8515463917525773,0.9604651162790696,0.5862747780057287,0.931375051308107,0.8657384091245742
TabPFN,ORİJİNAL_VERİ_COMBINED,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,KANSER,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama,388,56,310,78,0.8717948717948718,0.9107142857142856,0.8417207792207793,0.8793103448275862,0.9444444444444444,0.6899837579297765,0.9314347117191326,0.8919753086419753
TabPFN,ORİJİNAL_VERİ_COMBINED,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,PAH,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama_Yuksek_Eksik_Sutun_Silinmis,372,55,297,75,0.8666666666666667,0.9242424242424242,0.6843434343434343,0.8714285714285714,0.9838709677419356,0.4424521595673921,0.9351739165302716,0.7717121588089331
TabPFN,ORİJİNAL_VERİ_COMBINED,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,CFTR,TabPFN_Ordinal_Encoding_Eksik_Veri_Medyan,111,61,88,23,0.8695652173913043,0.9230769230769232,0.7472527472527473,0.9,0.9473684210526316,0.5034965460952284,0.8629382422115028,0.6447368421052632
TabPFN,ORİJİNAL_VERİ_COMBINED,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,MASTER,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama,2931,57,2344,587,0.8449744463373083,0.8994475138121547,0.7805787754934379,0.8568421052631578,0.9465116279069768,0.5783305814781196,0.9153913649717436,0.8548955710265145
TabPFN,ORİJİNAL_VERİ_COMBINED,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,KANSER,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama,388,50,310,78,0.8461538461538461,0.8928571428571429,0.8100649350649352,0.8620689655172413,0.925925925925926,0.626368234149017,0.9326431058789116,0.8896604938271606
TabPFN,ORİJİNAL_VERİ_COMBINED,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,PAH,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama_Yuksek_Eksik_Sutun_Silinmis,372,55,297,75,0.84,0.9090909090909092,0.6212121212121212,0.8571428571428571,0.967741935483871,0.3012440235352456,0.9378443595055304,0.7779156327543424
TabPFN,ORİJİNAL_VERİ_COMBINED,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,CFTR,TabPFN_Ordinal_Encoding_Eksik_Veri_Medyan,111,61,88,23,0.782608695652174,0.8648648648648649,0.6546546546546547,0.8888888888888888,0.8421052631578947,0.3143730417143384,0.8622293020288785,0.631578947368421
